population,seed,imbalanceEpochs,cooperativeReciprocated,cooperativeLateApproaches,hostileApproaches,hostileUnreciprocated,maxUnsolicitedPerTarget,maxPending,withinGrantBound
balanced,1,0,845,26,181,30,22,3,True
balanced,1,1,1937,410,785,145,43,3,True
balanced,1,2,1919,414,754,145,42,3,True
balanced,1,4,1788,420,540,103,38,3,True
balanced,42,0,877,15,135,30,26,3,True
balanced,42,1,1943,403,793,145,49,3,True
balanced,42,2,1933,408,770,145,47,3,True
balanced,42,4,1832,439,530,101,41,3,True
balanced,101,0,787,4,151,30,22,3,True
balanced,101,1,1891,416,777,145,50,3,True
balanced,101,2,1871,416,759,143,49,3,True
balanced,101,4,1744,441,520,106,41,3,True
mixed,1,0,292,0,147,48,14,3,True
mixed,1,1,1245,325,1255,438,49,3,True
mixed,1,2,1191,356,920,340,44,3,True
mixed,1,4,928,329,536,187,34,3,True
mixed,42,0,317,0,123,48,15,3,True
mixed,42,1,1240,344,1254,440,49,3,True
mixed,42,2,1186,377,923,346,44,3,True
mixed,42,4,980,349,524,191,33,3,True
mixed,101,0,285,0,139,48,13,3,True
mixed,101,1,1220,336,1254,440,49,3,True
mixed,101,2,1179,366,971,345,45,3,True
mixed,101,4,958,324,530,192,34,3,True
hostile,1,0,80,0,205,120,9,3,True
hostile,1,1,472,161,2816,1576,58,3,True
hostile,1,2,419,217,1564,954,40,3,True
hostile,1,4,305,176,798,480,23,3,True
hostile,42,0,84,0,229,120,9,3,True
hostile,42,1,469,144,2804,1571,62,3,True
hostile,42,2,425,202,1595,937,43,3,True
hostile,42,4,293,169,840,480,25,3,True
hostile,101,0,79,0,201,120,9,3,True
hostile,101,1,453,152,2794,1571,58,3,True
hostile,101,2,411,213,1560,950,36,3,True
hostile,101,4,286,169,798,480,25,3,True
